"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Nagad Transfer Test","","0","0","2","0","0"
"","BEFTN Card Beneficiary Test","","0","0","2","0","0"
"","NPSB Account Beneficiary Test","","0","0","2","0","0"
"","Mobile Recharge Test","","0","0","2","0","0"
"","Call Support Test","","0","0","1","0","0"
"","Exchange Rate Test","","0","0","2","0","0"
"","Customer Support Test","","0","1","1","0","0"
"","FAQ Test","","0","0","2","0","0"
"","Forgot Password Test","","0","0","1","0","0"
"","EMI Calculator Test","","0","0","2","0","0"
"","BEFTN Account Beneficiary Test","","0","0","2","0","0"
"","Intra Beneficiary Test","","0","0","2","0","0"
"","BEFTN FT Card Test","","0","0","2","0","0"
"","Nagad Beneficiary Test","","0","0","2","0","0"
"","Change Password Test","","0","0","2","0","0"
"","Transfer History Test","","0","0","1","0","0"
"","Intra FT Test","","0","0","2","0","0"
"","News Events Test","","0","0","2","0","0"
"","NPSB FT Account Test","","0","0","2","0","0"
"","Advance Loan Calculator Test","","0","0","2","0","0"
"","Logout Test","","0","0","1","0","0"
"","Last 25 Transaction Test","","0","0","1","0","0"
"","BEFTN FT Account Test","","0","0","2","0","0"
"","Customer Profile Test","","0","0","2","0","0"
"","Interest Rate Test","","0","0","2","0","0"
"","Agrani Map Test","","0","1","1","0","0"
"","NPSB FT Card Test","","0","0","2","0","0"
"","See Account Balance Test","","0","0","1","0","0"
"","NPSB Card Beneficiary Test","","0","0","2","0","0"
"","Own FT Test","","0","0","2","0","0"
"","Agrani Location Test","","0","0","2","0","0"
"","Login Test","","0","0","1","0","0"
"","bKash Beneficiary Test","","0","0","1","0","0"
